Rank,Player,Team,Matches Played,Elims,Avg Dmg Dealt,Damage Dealt,Assists,Knocks,Headshots,KD Ratio,Max Elim Range,Survival Time,Damage Received,Healing Done,Deaths,Smokes Used,Grenades Used,Grenade Elims,Airdrops Taken,Distance Driven,Distance Walked,Distance Traveled,Stage
56.0,Boycil,VOIN Esports,6.0,2.0,174.0,1044.0,0.0,4.0,0.0,0.33,7.0,5558.0,1160.0,1089.0,6.0,11.0,3.0,0.0,0.0,29426.0,5925.0,35351.0,Group A
57.0,Solkay,S2G Esports,6.0,2.0,118.0,712.0,5.0,0.0,0.0,0.33,254.0,3963.0,837.0,191.0,4.0,3.0,5.0,0.0,1.0,18529.0,4926.0,23455.0,Group A
58.0,Terminuz,Boars Gaming,6.0,2.0,101.0,607.0,2.0,3.0,0.0,0.33,6.0,5423.0,1002.0,847.0,6.0,8.0,3.0,0.0,0.0,25933.0,4732.0,30665.0,Group A
59.0,ALEKO,721 Esports,6.0,2.0,100.0,602.0,1.0,2.0,1.0,0.33,166.0,4476.0,927.0,355.0,6.0,2.0,2.0,0.0,0.0,23334.0,6528.0,29862.0,Group A
60.0,Potato,VOIN Esports,6.0,2.0,78.0,468.0,1.0,1.0,1.0,0.33,142.0,4819.0,826.0,636.0,6.0,8.0,1.0,0.0,0.0,37119.0,5712.0,42831.0,Group A
61.0,Topz,Team Flash,6.0,1.0,124.0,749.0,2.0,2.0,0.0,0.17,46.0,3483.0,633.0,505.0,6.0,6.0,6.0,0.0,0.0,27706.0,3903.0,31609.0,Group A
62.0,SPEED32,ETSH Esports,6.0,1.0,93.0,559.0,1.0,0.0,0.0,0.17,17.0,4529.0,801.0,190.0,6.0,6.0,1.0,1.0,0.0,30779.0,5298.0,36077.0,Group A
63.0,NASSER,ETSH Esports,6.0,1.0,64.0,388.0,2.0,0.0,0.0,0.17,66.0,4608.0,891.0,229.0,6.0,6.0,2.0,1.0,0.0,27128.0,5846.0,32974.0,Group A
64.0,R3B,AlUla Club Esports,6.0,0.0,109.0,659.0,3.0,3.0,0.0,0.0,0.0,4800.0,902.0,544.0,6.0,18.0,9.0,0.0,0.0,20939.0,5420.0,26359.0,Group A
1.0,Eren7,ULF Esports,6.0,17.0,607.0,3642.0,9.0,22.0,0.0,2.83,221.0,8757.0,1493.0,959.0,5.0,24.0,27.0,2.0,0.0,37138.0,11181.0,48319.0,Group B
2.0,FEDERALES,Bigetron by Vitality,6.0,17.0,565.0,3390.0,10.0,20.0,1.0,2.83,327.0,9587.0,2067.0,1524.0,5.0,41.0,36.0,2.0,0.0,52530.0,10901.0,63431.0,Group B
3.0,Kecth,ULF Esports,6.0,15.0,443.0,2659.0,6.0,13.0,1.0,2.5,289.0,8212.0,1788.0,977.0,5.0,17.0,23.0,4.0,0.0,45354.0,9782.0,55136.0,Group B
4.0,NEOZ,TT Project,6.0,14.0,478.0,2873.0,12.0,13.0,2.0,2.33,264.0,7483.0,1358.0,1773.0,6.0,20.0,19.0,1.0,1.0,54336.0,9275.0,63611.0,Group B
5.0,Yummy,BOOM Esports,6.0,14.0,466.0,2799.0,3.0,15.0,2.0,2.33,366.0,8299.0,2117.0,1259.0,6.0,15.0,21.0,4.0,1.0,51996.0,12956.0,64952.0,Group B
6.0,Reyzak,Bigetron by Vitality,6.0,13.0,389.0,2335.0,8.0,11.0,3.0,2.17,370.0,8965.0,2149.0,1644.0,5.0,19.0,9.0,2.0,0.0,48451.0,11354.0,59805.0,Group B
7.0,EZ4BADBOY,Geekay Esports,6.0,13.0,355.0,2132.0,4.0,13.0,3.0,2.17,173.0,6652.0,1336.0,1006.0,5.0,14.0,15.0,0.0,0.0,34964.0,8565.0,43529.0,Group B
8.0,ZERYCH,TT Project,6.0,12.0,412.0,2477.0,7.0,8.0,3.0,2.0,311.0,7481.0,1565.0,1702.0,6.0,15.0,8.0,1.0,1.0,45029.0,10639.0,55668.0,Group B
9.0,Rolex20,Gaming Stars Esports,6.0,12.0,379.0,2279.0,5.0,8.0,5.0,2.0,288.0,8767.0,1800.0,1125.0,5.0,14.0,7.0,1.0,0.0,40246.0,12212.0,52458.0,Group B
10.0,Reizy,Bigetron by Vitality,5.0,11.0,430.0,2154.0,8.0,7.0,4.0,2.2,102.0,7904.0,1584.0,1008.0,4.0,17.0,15.0,3.0,2.0,48797.0,9612.0,58409.0,Group B
11.0,Axel,Bigetron by Vitality,6.0,10.0,340.0,2042.0,9.0,6.0,0.0,1.67,209.0,9048.0,1913.0,1334.0,5.0,19.0,13.0,0.0,0.0,73077.0,9789.0,82866.0,Group B
12.0,Yuseph,Gaming Stars Esports,6.0,10.0,280.0,1683.0,3.0,9.0,4.0,1.67,361.0,8770.0,1458.0,777.0,5.0,17.0,11.0,0.0,1.0,39068.0,12966.0,52034.0,Group B
13.0,Mani4c,Gaming Stars Esports,6.0,9.0,418.0,2510.0,6.0,11.0,1.0,1.5,294.0,8575.0,1369.0,636.0,5.0,11.0,14.0,2.0,0.0,47172.0,11229.0,58401.0,Group B
14.0,SLONIK,Wolves Esports,6.0,9.0,279.0,1679.0,0.0,9.0,1.0,1.5,55.0,6803.0,2170.0,1225.0,5.0,17.0,11.0,1.0,0.0,37615.0,8931.0,46546.0,Group B
15.0,FrozeNNX,FUT Esports,6.0,9.0,261.0,1569.0,1.0,9.0,1.0,1.5,308.0,8260.0,1417.0,672.0,6.0,12.0,23.0,3.0,0.0,55802.0,11415.0,67217.0,Group B
16.0,EFFECT,TT Project,6.0,9.0,166.0,1000.0,6.0,7.0,2.0,1.5,113.0,6595.0,1294.0,1578.0,6.0,12.0,10.0,1.0,0.0,45001.0,8987.0,53988.0,Group B
17.0,Swash,Gaming Stars Esports,6.0,8.0,366.0,2196.0,7.0,9.0,2.0,1.33,202.0,8830.0,1165.0,679.0,5.0,10.0,11.0,1.0,0.0,38058.0,12387.0,50445.0,Group B
18.0,Amoori,R8 Esports,6.0,8.0,307.0,1846.0,1.0,11.0,1.0,1.33,268.0,6931.0,1487.0,560.0,6.0,9.0,8.0,0.0,0.0,29109.0,9076.0,38185.0,Group B
19.0,Narvalow,The Vicious,6.0,7.0,281.0,1687.0,2.0,7.0,1.0,1.17,211.0,6278.0,1258.0,554.0,5.0,16.0,9.0,2.0,0.0,50421.0,8117.0,58538.0,Group B
20.0,NCSSRY,Wolves Esports,6.0,6.0,313.0,1880.0,2.0,7.0,1.0,1.0,279.0,7394.0,1533.0,758.0,5.0,14.0,11.0,0.0,0.0,33978.0,8577.0,42555.0,Group B
