Player,Team,Elims,Avg Dmg Dealt,Assists,Knocks,KD Ratio,Stage
Diego,Loops Esports,9.0,347.0,6.0,9.0,1.5,Survival Stage
Topz,Team Flash,9.0,325.0,8.0,7.0,1.5,Survival Stage
FrozeNNX,FUT Esports,9.0,261.0,4.0,6.0,1.5,Survival Stage
LORD,Nigma Galaxy,8.0,485.0,8.0,13.0,1.33,Survival Stage
Zwolf,FUT Esports,8.0,284.0,6.0,6.0,1.33,Survival Stage
Kein,FUT Esports,8.0,186.0,3.0,5.0,1.33,Survival Stage
KŁAWSINHO,AlUla Club Esports,8.0,176.0,5.0,9.0,1.33,Survival Stage
Emre7,IDA Esports,7.0,312.0,3.0,8.0,1.17,Survival Stage
Fearless,Trained to Kill,7.0,256.0,1.0,6.0,1.17,Survival Stage
IQ,4Thrives Esports,7.0,217.0,5.0,7.0,1.17,Survival Stage
MALIK,721 Esports,6.0,239.0,2.0,4.0,1.0,Survival Stage
R3B,AlUla Club Esports,6.0,169.0,5.0,5.0,1.0,Survival Stage
Rita,IDA Esports,6.0,156.0,0.0,5.0,1.0,Survival Stage
RuLzSR,Trained to Kill,6.0,112.0,0.0,5.0,1.0,Survival Stage
Bowz,Team Flash,5.0,374.0,9.0,7.0,0.83,Survival Stage
Swajn,IDA Esports,5.0,366.0,1.0,7.0,0.83,Survival Stage
Swain,FUT Esports,5.0,302.0,8.0,8.0,0.83,Survival Stage
Baton,Wolves Esports,5.0,225.0,4.0,10.0,0.83,Survival Stage
4YDO,Nigma Galaxy,5.0,225.0,5.0,9.0,0.83,Survival Stage
SLONIK,Wolves Esports,5.0,215.0,6.0,3.0,0.83,Survival Stage
Icy,The Vicious,5.0,205.0,3.0,3.0,0.83,Survival Stage
robbzOP,Boars Gaming,5.0,197.0,3.0,5.0,0.83,Survival Stage
Rehan,721 Esports,5.0,164.0,4.0,4.0,0.83,Survival Stage
Lmntrixxx,Wolves Esports,5.0,144.0,3.0,6.0,0.83,Survival Stage
Law,Loops Esports,4.0,283.0,6.0,6.0,0.67,Survival Stage
Coa77,The Vicious,4.0,282.0,8.0,8.0,0.67,Survival Stage
Quick,AlUla Club Esports,4.0,278.0,9.0,5.0,0.67,Survival Stage
REDOX,The Vicious,4.0,172.0,2.0,4.0,0.67,Survival Stage
Amoori,R8 Esports,4.0,152.0,3.0,4.0,0.67,Survival Stage
ALEKO,721 Esports,4.0,149.0,2.0,5.0,0.67,Survival Stage
Shiva,XForce Rejects,4.0,131.0,0.0,3.0,0.67,Survival Stage
RAOUF,Nigma Galaxy,3.0,199.0,2.0,5.0,0.5,Survival Stage
WAGNERZADA,Boars Gaming,3.0,182.0,0.0,4.0,0.5,Survival Stage
Igneous,Trained to Kill,3.0,178.0,3.0,4.0,0.5,Survival Stage
Reverb,XForce Rejects,3.0,169.0,0.0,3.0,0.5,Survival Stage
Marth,R8 Esports,3.0,167.0,2.0,5.0,0.5,Survival Stage
Darkin,IDA Esports,3.0,157.0,1.0,5.0,0.5,Survival Stage
Potato,VOIN Esports,3.0,144.0,4.0,3.0,0.5,Survival Stage
Snowix,Boars Gaming,3.0,139.0,2.0,2.0,0.5,Survival Stage
B5eT,R8 Esports,2.0,312.0,1.0,3.0,1.0,Survival Stage
Boycil,VOIN Esports,2.0,186.0,1.0,7.0,0.33,Survival Stage
Rafinha,Loops Esports,2.0,182.0,6.0,2.0,0.33,Survival Stage
Zeta,VOIN Esports,2.0,180.0,1.0,2.0,0.33,Survival Stage
MOXXXYY,GOAT Team,2.0,176.0,8.0,2.0,0.33,Survival Stage
Voxie,VOIN Esports,2.0,160.0,2.0,2.0,0.33,Survival Stage
Baby,XForce Rejects,2.0,106.0,0.0,3.0,0.33,Survival Stage
PrEStlGe,R8 Esports,1.0,95.0,2.0,2.0,0.17,Survival Stage
SKTON,R8 Esports,1.0,67.0,1.0,1.0,0.25,Survival Stage
Terminuz,Boars Gaming,1.0,62.0,1.0,0.0,0.17,Survival Stage
Devil,XForce Rejects,1.0,54.0,3.0,1.0,0.17,Survival Stage
SlaYer,Trained to Kill,0.0,38.0,2.0,0.0,0.0,Survival Stage
Kecth,ULF Esports,27.0,420.0,13.0,19.0,2.25,Grand Finals
Ayala,FURIA,22.0,371.0,12.0,21.0,1.83,Grand Finals
